source_path,start_frame,end_frame,new_name
./pose_data_g1/KIT/3/kick_high_left02_poses.npy,0,117,000000.npy
./pose_data_g1/humanact12/humanact12/P11G01R02F1812T1847A0402.npy,0,-1,000001.npy
./pose_data_g1/KIT/3/jump_left02_poses.npy,0,83,000002.npy
./pose_data_g1/KIT/1747/displace_from_left_to_right_06_poses.npy,0,91,000003.npy
./pose_data_g1/CMU/80/80_63_poses.npy,516,716,000004.npy
./pose_data_g1/KIT/3/bend_right05_poses.npy,0,103,000005.npy
./pose_data_g1/Eyes_Japan_Dataset/hamada/pose-06-hangon-hamada_poses.npy,3,203,000006.npy
./pose_data_g1/KIT/9/step_over_gap05_poses.npy,0,111,000007.npy
./pose_data_g1/SSM_synced/20161014_50033/ATUSquat_sync_poses.npy,0,43,000008.npy
./pose_data_g1/KIT/572/wave_right01_poses.npy,0,116,000009.npy
./pose_data_g1/BMLmovi/Subject_52_F_MoSh/Subject_52_F_6_poses.npy,0,70,000010.npy
./pose_data_g1/humanact12/humanact12/P10G02R01F1423T1477A0801.npy,0,-1,000011.npy
./pose_data_g1/KIT/378/push_recovery_stand_left03_poses.npy,0,81,000012.npy
./pose_data_g1/CMU/36/36_15_poses.npy,225,425,000013.npy
./pose_data_g1/TotalCapture/s3/walking2_poses.npy,647,847,000014.npy
./pose_data_g1/MPI_HDM05/mm/HDM_mm_08-01_01_120_poses.npy,157,309,000015.npy
./pose_data_g1/KIT/572/violin_right05_poses.npy,0,136,000016.npy
./pose_data_g1/BMLmovi/Subject_71_F_MoSh/Subject_71_F_9_poses.npy,0,63,000017.npy
./pose_data_g1/MPI_mosh/50020/ankles_poses.npy,0,182,000018.npy
./pose_data_g1/BMLmovi/Subject_16_F_MoSh/Subject_16_F_14_poses.npy,0,151,000019.npy
./pose_data_g1/EKUT/300/PushBK_25_poses.npy,0,46,000020.npy
./pose_data_g1/KIT/4/WalkInCounterClockwiseCircle02_poses.npy,0,180,000021.npy
./pose_data_g1/KIT/359/turn_right06_poses.npy,0,116,000022.npy
./pose_data_g1/KIT/314/step_over_gap06_poses.npy,0,82,000023.npy
./pose_data_g1/KIT/200/Handstand04_poses.npy,0,131,000024.npy
./pose_data_g1/CMU/13/13_18_poses.npy,29,229,000025.npy
./pose_data_g1/CMU/139/139_33_poses.npy,20,220,000026.npy
./pose_data_g1/Transitions_mocap/mazen_c3d/punchkarate_jumpingtwist360_poses.npy,0,105,000027.npy
./pose_data_g1/KIT/11/WalkingStraightBackwards09_1_poses.npy,0,108,000028.npy
./pose_data_g1/BMLmovi/Subject_85_F_MoSh/Subject_85_F_3_poses.npy,0,73,000029.npy
./pose_data_g1/DFaust_67/50022/50022_punching_poses.npy,0,68,000030.npy
./pose_data_g1/MPI_HDM05/dg/HDM_dg_06-02_01_120_poses.npy,908,1108,000031.npy
./pose_data_g1/BMLmovi/Subject_9_F_MoSh/Subject_9_F_5_poses.npy,28,228,000032.npy
./pose_data_g1/Eyes_Japan_Dataset/aita/turn-03-look_at-aita_poses.npy,5,205,000033.npy
./pose_data_g1/ACCAD/Female1Running_c3d/C19_-__run_to_hop_to_walk_poses.npy,0,85,000034.npy
./pose_data_g1/KIT/3/kneel_down_with_both_hands01_poses.npy,0,191,000035.npy
./pose_data_g1/KIT/167/turn_left05_poses.npy,0,121,000036.npy
./pose_data_g1/CMU/144/144_08_poses.npy,216,416,000037.npy
./pose_data_g1/KIT/572/guitar_left12_poses.npy,0,117,000038.npy
./pose_data_g1/BioMotionLab_NTroje/rub110/0001_treadmill_fast_poses.npy,287,487,000039.npy
./pose_data_g1/Eyes_Japan_Dataset/kudo/gesture_etc-13-juggling_imaginary-kudo_poses.npy,11,211,000040.npy
./pose_data_g1/KIT/3/walking_forward_4steps_right_05_poses.npy,0,93,000041.npy
./pose_data_g1/Eyes_Japan_Dataset/hamada/throw_toss-13-pass_to_right_light-hamada_poses.npy,10,210,000042.npy
./pose_data_g1/CMU/106/106_05_poses.npy,0,77,000043.npy
./pose_data_g1/MPI_Limits/03099/op3_poses.npy,1,201,000044.npy
./pose_data_g1/MPI_Limits/03100/uar1b_poses.npy,693,893,000045.npy
./pose_data_g1/KIT/1229/hand_through_hair_with_help_02_poses.npy,0,108,000046.npy
./pose_data_g1/CMU/144/144_24_poses.npy,631,784,000047.npy
./pose_data_g1/CMU/28/28_02_poses.npy,13,213,000048.npy
./pose_data_g1/Eyes_Japan_Dataset/hamada/gesture_etc-32-no-hamada_poses.npy,18,218,000049.npy
./pose_data_g1/CMU/108/108_21_poses.npy,0,83,000050.npy
./pose_data_g1/BMLmovi/Subject_54_F_MoSh/Subject_54_F_15_poses.npy,0,72,000051.npy
./pose_data_g1/KIT/425/bend_right06_poses.npy,0,144,000052.npy
./pose_data_g1/humanact12/humanact12/P08G01R02F0123T0175A0603.npy,0,-1,000053.npy
./pose_data_g1/CMU/113/113_27_poses.npy,0,60,000054.npy
./pose_data_g1/MPI_Limits/03100/uar5_poses.npy,145,345,000055.npy
./pose_data_g1/EKUT/300/PushBeam_20_poses.npy,0,61,000056.npy
./pose_data_g1/BMLmovi/Subject_54_F_MoSh/Subject_54_F_12_poses.npy,0,145,000057.npy
./pose_data_g1/CMU/132/132_02_poses.npy,0,191,000058.npy
./pose_data_g1/CMU/113/113_06_poses.npy,1,201,000059.npy
./pose_data_g1/Eyes_Japan_Dataset/aita/gesture_etc-21-clapping-aita_poses.npy,23,223,000060.npy
./pose_data_g1/BioMotionLab_NTroje/rub054/0000_treadmill_norm_poses.npy,115,315,000061.npy
./pose_data_g1/BMLmovi/Subject_11_F_MoSh/Subject_11_F_20_poses.npy,0,167,000062.npy
./pose_data_g1/KIT/675/dry_right_arm_014_poses.npy,87,287,000063.npy
./pose_data_g1/humanact12/humanact12/P07G01R03F0427T0490A0402.npy,0,-1,000064.npy
./pose_data_g1/CMU/60/60_01_poses.npy,120,320,000065.npy
./pose_data_g1/MPI_HDM05/bk/HDM_bk_04-01_02_120_poses.npy,1641,1841,000066.npy
./pose_data_g1/KIT/421/push_recovery_right04_poses.npy,0,137,000067.npy
./pose_data_g1/Eyes_Japan_Dataset/ichige/soccer-29-heel_lift-ichige_poses.npy,23,223,000068.npy
./pose_data_g1/SSM_synced/20160930_50032/running_on_the_spot_sync_poses.npy,0,49,000069.npy
./pose_data_g1/BMLmovi/Subject_1_F_MoSh/Subject_1_F_10_poses.npy,0,118,000070.npy
./pose_data_g1/humanact12/humanact12/P12G01R01F0515T0665A0301.npy,0,-1,000071.npy
./pose_data_g1/humanact12/humanact12/P04G03R01F0393T0432A1103.npy,0,-1,000072.npy
./pose_data_g1/KIT/425/step_over_gap04_poses.npy,0,108,000073.npy
./pose_data_g1/CMU/13/13_11_poses.npy,0,70,000074.npy
./pose_data_g1/KIT/3/walking_slow02_poses.npy,0,118,000075.npy
./pose_data_g1/KIT/1747/displace_tilt_side_11_poses.npy,0,173,000076.npy
./pose_data_g1/KIT/1297/wipe11_poses.npy,86,286,000077.npy
./pose_data_g1/KIT/883/wipe_head_dabbing01_poses.npy,26,226,000078.npy
./pose_data_g1/KIT/314/parkour07_poses.npy,8,207,000079.npy
./pose_data_g1/KIT/3/jump_forward02_poses.npy,0,76,000080.npy
./pose_data_g1/KIT/1747/displace_from_left_to_right_09_poses.npy,0,114,000081.npy
./pose_data_g1/CMU/60/60_01_poses.npy,8,208,000082.npy
./pose_data_g1/KIT/425/walking_slow08_poses.npy,0,103,000083.npy
./pose_data_g1/ACCAD/Female1General_c3d/A3_-_Swing_t2_poses.npy,0,163,000084.npy
./pose_data_g1/KIT/572/guitar_right09_poses.npy,0,122,000085.npy
./pose_data_g1/KIT/1346/Experiment3_subject1346_wash_leg_position_smallcircles_02_poses.npy,7,207,000086.npy
./pose_data_g1/BMLmovi/Subject_24_F_MoSh/Subject_24_F_19_poses.npy,0,100,000087.npy
./pose_data_g1/CMU/80/80_44_poses.npy,6,206,000088.npy
./pose_data_g1/KIT/424/walking_run07_poses.npy,0,75,000089.npy
./pose_data_g1/KIT/513/turn_right02_poses.npy,0,126,000090.npy
./pose_data_g1/ACCAD/Male1General_c3d/General_A9_-___Lie_(forward)_poses.npy,0,48,000091.npy
./pose_data_g1/KIT/379/push_recovery_front06_poses.npy,0,121,000092.npy
./pose_data_g1/KIT/9/bend_right07_poses.npy,0,106,000093.npy
./pose_data_g1/Eyes_Japan_Dataset/aita/gesture_etc-43-brush_teeth-aita_poses.npy,84,284,000094.npy
./pose_data_g1/KIT/675/Experiment3a_03_poses.npy,277,477,000095.npy
./pose_data_g1/BMLmovi/Subject_85_F_MoSh/Subject_85_F_4_poses.npy,0,139,000096.npy
./pose_data_g1/Eyes_Japan_Dataset/kanno/walk-11-baggage_on_the_head-kanno_poses.npy,16,216,000097.npy
./pose_data_g1/Eyes_Japan_Dataset/kaiwa/walk-24-listless-kaiwa_poses.npy,0,200,000098.npy
./pose_data_g1/BMLmovi/Subject_71_F_MoSh/Subject_71_F_7_poses.npy,0,74,000099.npy
./pose_data_g1/KIT/424/turn_left07_poses.npy,0,145,000100.npy
./pose_data_g1/KIT/424/walking_run01_poses.npy,0,79,000101.npy
./pose_data_g1/Eyes_Japan_Dataset/hamada/throw_toss-15-pass_to_left_light-hamada_poses.npy,3,203,000102.npy
./pose_data_g1/BMLmovi/Subject_48_F_MoSh/Subject_48_F_17_poses.npy,0,89,000103.npy
./pose_data_g1/Eyes_Japan_Dataset/hamada/sitdown_standup-16-reseat-hamada_poses.npy,172,372,000104.npy
./pose_data_g1/MPI_HDM05/tr/HDM_tr_03-01_02_120_poses.npy,543,743,000105.npy
./pose_data_g1/Eyes_Japan_Dataset/takiguchi/jump-02-leap-takiguchi_poses.npy,18,218,000106.npy
./pose_data_g1/EKUT/265/WSDF03_poses.npy,0,91,000107.npy
./pose_data_g1/CMU/70/70_05_poses.npy,0,151,000108.npy
./pose_data_g1/KIT/10/WalkingStraightBackwards07_poses.npy,0,101,000109.npy
./pose_data_g1/BMLmovi/Subject_35_F_MoSh/Subject_35_F_14_poses.npy,0,71,000110.npy
